open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
2025-11-22T17:00:00.000,2753.98,2757.37,2743.14,2748.64,69954.02,2025-11-22T17:59:59.999,192336073.02855,161001,35461.349,97492902.42725,0
2025-11-22T18:00:00.000,2748.64,2753.99,2741.1,2751.06,41592.173,2025-11-22T18:59:59.999,114307033.70329,126084,20864.136,57342160.64536,0
2025-11-22T19:00:00.000,2751.07,2756.13,2743.2,2749.26,42156.642,2025-11-22T19:59:59.999,115907035.78869,109571,21123.164,58074542.11846,0
2025-11-22T20:00:00.000,2749.26,2755.67,2732.34,2739.99,68413.791,2025-11-22T20:59:59.999,187731821.79655,138841,30139.522,82711511.32757,0
2025-11-22T21:00:00.000,2739.99,2747.63,2735.6,2746.54,41225.853,2025-11-22T21:59:59.999,113055801.76338,104044,19147.98,52520396.97049,0
2025-11-22T22:00:00.000,2746.53,2798.0,2740.5,2788.01,143216.37,2025-11-22T22:59:59.999,397061669.28375,221783,87101.179,241599843.94483,0
2025-11-22T23:00:00.000,2788.0,2792.58,2766.11,2769.06,97586.223,2025-11-22T23:59:59.999,270959699.61751,226652,45959.47,127609889.46989,0
2025-11-23T00:00:00.000,2769.06,2788.44,2766.87,2771.78,80196.204,2025-11-23T00:59:59.999,222640952.57652,209436,41027.27,113902988.06559,0
2025-11-23T01:00:00.000,2771.78,2814.92,2770.23,2807.08,158363.009,2025-11-23T01:59:59.999,442790879.07044,332621,90399.948,252799672.94848,0
2025-11-23T02:00:00.000,2807.08,2833.0,2802.51,2819.72,193007.424,2025-11-23T02:59:59.999,544276212.75729,370673,101881.873,287362471.24082,0
2025-11-23T03:00:00.000,2819.71,2823.41,2808.17,2823.02,91832.777,2025-11-23T03:59:59.999,258547956.01973,221284,47945.37,134996987.45965,0
2025-11-23T04:00:00.000,2823.01,2850.94,2818.26,2826.19,274691.706,2025-11-23T04:59:59.999,777978329.83963,404425,139616.22,395514716.03142,0
2025-11-23T05:00:00.000,2826.2,2829.77,2811.58,2823.72,100705.075,2025-11-23T05:59:59.999,284180307.37796,187021,42547.663,120063674.86636,0
2025-11-23T06:00:00.000,2823.71,2831.47,2803.0,2808.43,113123.341,2025-11-23T06:59:59.999,318498037.32387,192113,46243.902,130231062.07097,0
2025-11-23T07:00:00.000,2808.42,2810.79,2775.0,2792.16,220488.864,2025-11-23T07:59:59.999,615149730.21195,294240,93280.901,260263742.05727,0
2025-11-23T08:00:00.000,2792.16,2814.5,2792.02,2810.0,112149.299,2025-11-23T08:59:59.999,314514463.64143,209336,60535.501,169767244.37325,0
2025-11-23T09:00:00.000,2810.0,2823.14,2804.41,2815.06,82912.201,2025-11-23T09:59:59.999,233207363.89863,158393,43738.312,123037324.78169,0
2025-11-23T10:00:00.000,2815.06,2815.37,2801.33,2807.25,77645.067,2025-11-23T10:59:59.999,217950426.60072,152005,38613.0,108397869.91009,0
2025-11-23T11:00:00.000,2807.25,2819.65,2802.2,2814.41,69211.266,2025-11-23T11:59:59.999,194592951.56612,156785,35456.137,99692674.30016,0
2025-11-23T12:00:00.000,2814.42,2844.44,2812.31,2833.82,220326.464,2025-11-23T12:59:59.999,624285061.85846,325214,115321.958,326755906.7186,0
2025-11-23T13:00:00.000,2833.81,2844.33,2821.24,2842.47,122400.85,2025-11-23T13:59:59.999,346717811.4534,200366,60283.957,170793381.16965,0
2025-11-23T14:00:00.000,2842.46,2857.0,2811.0,2813.55,232524.873,2025-11-23T14:59:59.999,658850222.45371,366543,116074.777,329040827.23042,0
2025-11-23T15:00:00.000,2813.55,2838.79,2808.0,2835.01,149778.555,2025-11-23T15:59:59.999,422998664.37299,294954,79860.118,225562816.63907,0
2025-11-23T16:00:00.000,2835.01,2845.53,2796.06,2798.65,185232.054,2025-11-23T16:59:59.999,522895319.45602,315945,81842.942,231187863.55121,0
2025-11-23T17:00:00.000,2798.66,2807.11,2785.0,2791.3,200444.966,2025-11-23T17:59:59.999,560103694.80161,359435,98326.207,274784148.5889,0
2025-11-23T18:00:00.000,2791.3,2815.93,2791.29,2807.33,97175.433,2025-11-23T18:59:59.999,272575596.93259,214093,52836.587,148180341.45319,0
2025-11-23T19:00:00.000,2807.33,2836.67,2805.75,2821.52,108473.069,2025-11-23T19:59:59.999,306369496.44217,221443,52705.726,148835165.02264,0
2025-11-23T20:00:00.000,2821.51,2835.0,2820.04,2827.08,60427.071,2025-11-23T20:59:59.999,170857650.02608,159190,33935.698,95958690.12455,0
2025-11-23T21:00:00.000,2827.09,2843.99,2815.12,2839.9,83911.259,2025-11-23T21:59:59.999,237505545.38031,188365,44938.077,127222732.08704,0
2025-11-23T22:00:00.000,2839.91,2843.45,2823.0,2836.85,71116.021,2025-11-23T22:59:59.999,201434889.00315,162803,37148.154,105238220.27845,0
2025-11-23T23:00:00.000,2836.87,2842.5,2793.19,2800.73,182826.869,2025-11-23T23:59:59.999,513387806.7397,348438,84317.038,236754525.87233,0
2025-11-24T00:00:00.000,2800.74,2802.08,2761.38,2786.69,286589.543,2025-11-24T00:59:59.999,797274457.45332,478323,137742.036,383282895.46005,0
2025-11-24T01:00:00.000,2786.68,2806.29,2776.5,2804.76,146003.297,2025-11-24T01:59:59.999,407152234.06993,389563,75567.564,210759674.82575,0
