open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
2024-09-28T23:00:00.000,65640.5,65980.0,65581.8,65822.6,5713.528,2024-09-28T23:59:59.999,375985255.495,66911,3747.547,246638522.9117,0
2024-09-29T00:00:00.000,65822.7,65954.5,65599.8,65648.3,5476.969,2024-09-29T00:59:59.999,360315557.3223,75371,2450.401,161225813.1346,0
2024-09-29T01:00:00.000,65648.3,65850.0,65625.8,65834.4,2267.847,2024-09-29T01:59:59.999,149067162.0291,45467,1293.006,84993980.2393,0
2024-09-29T02:00:00.000,65834.4,65908.1,65785.5,65788.9,2807.843,2024-09-29T02:59:59.999,184897051.3361,45580,1369.643,90197269.3083,0
2024-09-29T03:00:00.000,65788.9,65794.8,65690.0,65781.6,1886.174,2024-09-29T03:59:59.999,124021313.0219,29694,774.681,50941350.6907,0
2024-09-29T04:00:00.000,65781.5,65781.6,65652.6,65717.2,1653.713,2024-09-29T04:59:59.999,108650003.0952,30600,843.721,55431444.3766,0
2024-09-29T05:00:00.000,65717.3,65729.8,65478.6,65562.8,4440.252,2024-09-29T05:59:59.999,291191320.7065,55282,1910.372,125266661.1033,0
2024-09-29T06:00:00.000,65562.7,65596.6,65454.0,65476.8,2988.032,2024-09-29T06:59:59.999,195774662.2642,49763,1326.759,86931633.4473,0
2024-09-29T07:00:00.000,65476.9,65530.0,65400.0,65436.9,3204.505,2024-09-29T07:59:59.999,209803831.8393,49428,1683.672,110242199.3279,0
2024-09-29T08:00:00.000,65436.9,65576.0,65401.0,65531.9,3160.351,2024-09-29T08:59:59.999,206954722.082,46121,1875.64,122830263.0189,0
2024-09-29T09:00:00.000,65531.9,65642.2,65525.0,65559.4,2735.825,2024-09-29T09:59:59.999,179462943.8717,39602,1365.861,89595256.9344,0
2024-09-29T10:00:00.000,65559.4,65562.2,65442.0,65550.0,2368.151,2024-09-29T10:59:59.999,155113667.6493,37811,1222.152,80049326.5633,0
2024-09-29T11:00:00.000,65550.0,65702.7,65541.0,65670.4,3587.432,2024-09-29T11:59:59.999,235454169.8961,47177,1956.719,128421484.6553,0
2024-09-29T12:00:00.000,65670.4,65737.5,65586.6,65601.0,3280.894,2024-09-29T12:59:59.999,215480210.017,46481,1657.531,108866081.2139,0
2024-09-29T13:00:00.000,65601.0,65832.9,65542.5,65785.6,5643.368,2024-09-29T13:59:59.999,370899493.6958,78176,2982.616,196048735.633,0
2024-09-29T14:00:00.000,65785.7,65796.5,65630.0,65666.4,2848.279,2024-09-29T14:59:59.999,187121778.7187,54219,1270.254,83449108.0165,0
2024-09-29T15:00:00.000,65666.4,65788.8,65480.0,65720.0,5953.447,2024-09-29T15:59:59.999,390905112.0528,78831,2681.258,176082289.8788,0
2024-09-29T16:00:00.000,65720.0,65772.1,65623.8,65741.1,2724.903,2024-09-29T16:59:59.999,179039698.9257,40618,1426.276,93716023.4576,0
2024-09-29T17:00:00.000,65741.1,65907.6,65731.9,65790.1,5355.608,2024-09-29T17:59:59.999,352651324.4042,67739,3160.847,208136572.2965,0
2024-09-29T18:00:00.000,65790.0,65832.0,65708.9,65755.8,2163.33,2024-09-29T18:59:59.999,142256351.9537,34929,1085.459,71380590.7923,0
2024-09-29T19:00:00.000,65755.9,65947.4,65749.3,65926.3,2611.737,2024-09-29T19:59:59.999,172041236.2134,37254,1646.819,108486958.7544,0
2024-09-29T20:00:00.000,65926.2,66059.3,65770.0,65782.4,5513.117,2024-09-29T20:59:59.999,363391282.2817,83480,2878.654,189773010.8608,0
2024-09-29T21:00:00.000,65782.4,65950.0,65760.0,65839.8,2316.884,2024-09-29T21:59:59.999,152552574.7955,41394,1225.487,80692222.5084,0
2024-09-29T22:00:00.000,65839.8,65920.0,65533.5,65634.4,7541.446,2024-09-29T22:59:59.999,495285463.6264,99136,3195.115,209848011.3612,0
2024-09-29T23:00:00.000,65634.3,65705.0,65491.4,65568.1,5601.692,2024-09-29T23:59:59.999,367315781.2552,80520,2822.182,185071579.4218,0
2024-09-30T00:00:00.000,65568.2,65588.8,65050.0,65436.3,18704.014,2024-09-30T00:59:59.999,1221275813.0733,203943,8261.304,539405641.0436,0
2024-09-30T01:00:00.000,65436.4,65520.0,64701.0,64737.8,17456.774,2024-09-30T01:59:59.999,1135446440.2589,192436,7806.932,507978752.1082,0
2024-09-30T02:00:00.000,64737.9,64790.3,64310.4,64350.7,20811.198,2024-09-30T02:59:59.999,1342456287.3225,227658,9937.703,641041049.752,0
2024-09-30T03:00:00.000,64350.6,64550.0,64150.0,64539.9,12909.848,2024-09-30T03:59:59.999,831028747.5432,171961,6527.968,420280465.9853,0
2024-09-30T04:00:00.000,64539.9,64540.0,64300.0,64417.0,5041.131,2024-09-30T04:59:59.999,324763540.0026,85822,2338.044,150621476.0953,0
2024-09-30T05:00:00.000,64417.0,64512.0,64358.4,64506.2,4007.704,2024-09-30T05:59:59.999,258335826.1433,59334,2217.405,142947881.6761,0
2024-09-30T06:00:00.000,64506.2,64686.0,64322.4,64322.5,9750.085,2024-09-30T06:59:59.999,629251819.6982,102126,4741.782,306111070.5341,0
2024-09-30T07:00:00.000,64322.4,64660.9,64320.0,64539.1,6182.794,2024-09-30T07:59:59.999,398897994.132,90494,3528.246,227600577.9988,0
2024-09-30T08:00:00.000,64539.0,64552.9,64010.0,64284.3,18540.598,2024-09-30T08:59:59.999,1190765062.1072,172594,8387.304,538741015.6312,0
2024-09-30T09:00:00.000,64284.2,64284.2,63507.1,63512.1,22062.91,2024-09-30T09:59:59.999,1408749951.5096,250717,9649.945,616227458.1346,0
2024-09-30T10:00:00.000,63512.1,63650.1,63222.0,63621.0,25681.325,2024-09-30T10:59:59.999,1629831386.2455,278087,13227.887,839559054.2816,0
2024-09-30T11:00:00.000,63621.1,63846.1,63489.8,63794.4,10174.146,2024-09-30T11:59:59.999,647894320.5403,124472,5574.759,355045800.2193,0
2024-09-30T12:00:00.000,63794.4,64120.9,63731.2,64012.7,10970.475,2024-09-30T12:59:59.999,700934714.3974,132185,5663.605,361917114.8207,0
2024-09-30T13:00:00.000,64012.8,64130.8,63801.1,63852.9,11934.453,2024-09-30T13:59:59.999,763617074.3262,156623,5365.453,343311649.3472,0
2024-09-30T14:00:00.000,63852.9,63989.0,63490.2,63723.9,15649.301,2024-09-30T14:59:59.999,997514720.7848,200568,7353.589,468757046.1451,0
2024-09-30T15:00:00.000,63723.9,63964.7,63510.0,63535.6,10321.581,2024-09-30T15:59:59.999,657653084.4151,147669,5058.121,322352072.6818,0
2024-09-30T16:00:00.000,63535.7,63722.4,63430.0,63465.6,8978.516,2024-09-30T16:59:59.999,570608482.6362,128504,4480.842,284802249.7952,0
2024-09-30T17:00:00.000,63465.6,63689.2,63350.0,63674.0,8848.922,2024-09-30T17:59:59.999,561991081.3294,133842,4587.651,291388885.4082,0
2024-09-30T18:00:00.000,63674.0,63718.2,63036.2,63306.7,17933.827,2024-09-30T18:59:59.999,1134643523.0849,226971,8493.186,537330594.9156,0
2024-09-30T19:00:00.000,63306.8,63621.8,63254.4,63472.8,9708.439,2024-09-30T19:59:59.999,616058319.1707,132521,4681.688,297088716.8988,0
2024-09-30T20:00:00.000,63472.9,63845.0,63426.6,63788.7,6285.939,2024-09-30T20:59:59.999,400115522.1168,94872,3569.626,227208880.03,0
2024-09-30T21:00:00.000,63788.8,63813.0,63610.3,63678.7,2927.323,2024-09-30T21:59:59.999,186536543.7736,44909,1051.369,66999914.7628,0
2024-09-30T22:00:00.000,63678.8,63746.6,63450.4,63458.3,3837.703,2024-09-30T22:59:59.999,244062368.0451,75972,1550.62,98629621.9875,0
2024-09-30T23:00:00.000,63458.3,63591.5,62825.0,63309.1,18129.367,2024-09-30T23:59:59.999,1145199295.7018,212355,8222.83,519539270.1853,0
2024-10-01T00:00:00.000,63309.0,63601.7,63000.0,63513.2,13510.1,2024-10-01T00:59:59.999,854970002.3673,186096,6624.095,419328585.2738,0
2024-10-01T01:00:00.000,63513.2,63627.5,63345.7,63447.3,6383.848,2024-10-01T01:59:59.999,405381160.0059,97535,2574.28,163501535.2704,0
2024-10-01T02:00:00.000,63447.2,63447.2,63150.0,63427.8,4795.932,2024-10-01T02:59:59.999,303641984.8573,85443,2246.607,142227056.8346,0
2024-10-01T03:00:00.000,63427.8,63732.0,63410.9,63707.2,5455.182,2024-10-01T03:59:59.999,346969628.9312,84657,3139.411,199671781.7434,0
2024-10-01T04:00:00.000,63707.2,63850.0,63627.6,63835.9,5837.888,2024-10-01T04:59:59.999,372220293.605,89432,3281.448,209226030.1406,0
2024-10-01T05:00:00.000,63836.0,63872.0,63650.0,63733.9,3414.764,2024-10-01T05:59:59.999,217646678.5251,55621,1544.944,98462271.8411,0
2024-10-01T06:00:00.000,63733.9,64070.0,63731.0,64005.8,8166.372,2024-10-01T06:59:59.999,522119992.7052,90911,4861.76,310877033.856,0
2024-10-01T07:00:00.000,64005.9,64092.6,63890.7,64017.0,6104.641,2024-10-01T07:59:59.999,390691305.7455,83378,2663.596,170473180.9484,0
2024-10-01T08:00:00.000,64016.9,64071.0,63810.1,63923.7,4525.193,2024-10-01T08:59:59.999,289255109.0811,69818,1934.912,123673317.2802,0
2024-10-01T09:00:00.000,63923.7,64075.5,63823.7,63834.3,4677.318,2024-10-01T09:59:59.999,299272788.5302,69627,1994.419,127616825.8407,0
2024-10-01T10:00:00.000,63834.2,63916.9,63683.1,63884.6,5472.096,2024-10-01T10:59:59.999,349092363.0308,69652,2672.104,170486266.858,0
2024-10-01T11:00:00.000,63884.6,63958.0,63691.4,63699.9,3912.303,2024-10-01T11:59:59.999,249568809.7988,62944,1738.962,110920930.2032,0
2024-10-01T12:00:00.000,63700.0,63784.0,63551.4,63644.1,5531.892,2024-10-01T12:59:59.999,352237305.924,84812,2553.232,162598054.3243,0
2024-10-01T13:00:00.000,63644.1,63664.0,62500.0,62838.9,43863.859,2024-10-01T13:59:59.999,2757824048.5073,421957,20167.161,1267616143.5979,0
2024-10-01T14:00:00.000,62838.9,63063.0,62400.0,62588.3,41656.346,2024-10-01T14:59:59.999,2612128637.4951,480831,19720.836,1236968196.9336,0
2024-10-01T15:00:00.000,62588.2,62791.6,61801.6,62613.8,58579.631,2024-10-01T15:59:59.999,3646836482.1091,580742,27379.558,1704818665.1226,0
2024-10-01T16:00:00.000,62613.8,62760.0,61900.0,62437.2,34371.249,2024-10-01T16:59:59.999,2139718087.7904,406165,16569.876,1031456299.511,0
2024-10-01T17:00:00.000,62437.2,62437.3,61100.0,62134.1,58611.013,2024-10-01T17:59:59.999,3614125677.4399,608648,26250.684,1618926274.8123,0
2024-10-01T18:00:00.000,62134.1,62422.3,61841.8,61971.9,20135.838,2024-10-01T18:59:59.999,1251559766.5556,246248,9840.689,611758464.9627,0
2024-10-01T19:00:00.000,61971.9,62078.7,61584.0,61739.7,13667.91,2024-10-01T19:59:59.999,845315079.7346,219202,6894.896,426519167.7396,0
2024-10-01T20:00:00.000,61739.8,61750.2,60128.2,60778.7,52318.761,2024-10-01T20:59:59.999,3181180745.7117,571234,23028.223,1400072297.0933,0
2024-10-01T21:00:00.000,60778.7,61191.1,60629.1,61114.0,10769.682,2024-10-01T21:59:59.999,655727501.7208,164775,5497.206,334771353.6227,0
2024-10-01T22:00:00.000,61114.0,61125.0,60589.5,60742.9,10151.864,2024-10-01T22:59:59.999,617223798.6386,141802,4977.306,302606857.8307,0
2024-10-01T23:00:00.000,60742.8,61016.8,60616.3,60776.8,7904.153,2024-10-01T23:59:59.999,480794033.0036,118629,3885.468,236357478.4175,0
2024-10-02T00:00:00.000,60776.7,61200.0,60703.3,61017.0,12728.051,2024-10-02T00:59:59.999,775878859.448,152103,7082.743,431826205.9532,0
2024-10-02T01:00:00.000,61017.1,61500.0,60971.3,61497.0,8116.52,2024-10-02T01:59:59.999,497666751.1804,112631,4889.788,299847214.3207,0
2024-10-02T02:00:00.000,61496.9,61800.0,61404.8,61754.3,9364.867,2024-10-02T02:59:59.999,576959648.5682,120987,5189.267,319746097.255,0
2024-10-02T03:00:00.000,61754.3,61858.2,61629.6,61718.0,7253.09,2024-10-02T03:59:59.999,447895036.2427,94882,3256.892,201150708.8394,0
2024-10-02T04:00:00.000,61718.1,61722.6,61415.1,61473.0,8384.775,2024-10-02T04:59:59.999,516108168.3425,103015,4073.991,250729653.8453,0
2024-10-02T05:00:00.000,61472.9,61587.4,61325.0,61466.7,5198.709,2024-10-02T05:59:59.999,319460613.8128,84940,2699.238,165887073.7205,0
2024-10-02T06:00:00.000,61466.7,61763.0,61330.0,61672.9,6351.891,2024-10-02T06:59:59.999,391330986.9513,94640,3758.834,231554930.544,0
2024-10-02T07:00:00.000,61672.9,61926.7,61552.0,61702.5,7211.834,2024-10-02T07:59:59.999,445294503.2583,104834,3424.599,211466547.014,0
2024-10-02T08:00:00.000,61702.5,61888.2,61584.6,61773.3,5107.859,2024-10-02T08:59:59.999,315338061.6525,79577,2570.747,158729085.5496,0
2024-10-02T09:00:00.000,61773.4,61789.8,61111.0,61251.4,12974.132,2024-10-02T09:59:59.999,796414179.8869,164301,5611.941,344430447.0953,0
2024-10-02T10:00:00.000,61251.3,61532.4,61135.0,61172.2,9638.057,2024-10-02T10:59:59.999,590911591.5224,130574,4683.804,287164907.8725,0
2024-10-02T11:00:00.000,61172.3,61362.0,60856.8,61140.8,14401.346,2024-10-02T11:59:59.999,880486604.2556,185051,6921.441,423160220.4213,0
2024-10-02T12:00:00.000,61140.8,61197.0,60666.0,60780.2,17868.152,2024-10-02T12:59:59.999,1089342331.3885,199588,9773.812,596016051.2293,0
2024-10-02T13:00:00.000,60780.3,61443.0,60495.0,61320.7,30107.408,2024-10-02T13:59:59.999,1834930704.9667,364913,15812.977,964020077.7276,0
2024-10-02T14:00:00.000,61320.7,61671.3,61045.3,61051.1,25533.278,2024-10-02T14:59:59.999,1566224607.4492,335385,13191.353,809330043.4689,0
2024-10-02T15:00:00.000,61051.2,61902.6,61005.3,61833.9,18277.932,2024-10-02T15:59:59.999,1126264412.846,244328,9844.882,606601340.485,0
